,after_t1,after_t2,after_t3,after_t4,after_t5
circle,74.9,49.0,49.05,50.45,49.75
vertical,,99.5,74.85,48.95,36.85
diagonal,,,99.2,74.8,58.9
horizontal,,,,99.45,76.85
xor_quadrant,,,,,62.35
