,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,97.35,76.1,73.3,75.85,49.5
vertical,,98.85,84.05,50.8,50.45
xor_quadrant,,,48.5,49.65,50.5
horizontal,,,,98.4,50.85
circle,,,,,75.5
