phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9,hmem_mean,hmem_std,hmem_min,hmem_max,corr_hmem_mask,corr_hmem_dw
1,0,0.020467255264520645,0.010958647355437279,0.015209563076496124,0.4566712975502014,0.9980868697166443,0.0,1.0,2.4378151893615723,9.386009747203161e-10,123.672119140625,0.757095217704773,0.7561442852020264
1,78,0.0241676177829504,0.01138576865196228,6.0842336097266525e-05,0.37031224370002747,0.998144805431366,0.0,1.0,2.3723459243774414,5.044978879098494e-10,123.5796890258789,0.6703340411186218,0.6332629323005676
1,0,0.019452892243862152,0.009283140301704407,5.426550706033595e-05,0.3132668733596802,0.998144805431366,0.0,1.0,2.397756814956665,5.392633561918103e-10,133.34254455566406,0.6431117653846741,0.5539677143096924
1,78,0.01858043670654297,0.00845160149037838,5.3267354815034196e-05,0.26208823919296265,0.9982028007507324,0.0,1.0,2.288738250732422,2.933720599784806e-09,125.84370422363281,0.5855532288551331,0.11743693053722382
1,0,0.019793232902884483,0.00898659322410822,6.467794446507469e-05,0.270876944065094,0.9982028007507324,0.0,1.0,2.1873810291290283,1.3381959984570813e-09,111.91397857666016,0.6248881220817566,0.3626563847064972
1,78,0.019820522516965866,0.008806842379271984,5.1706570957321674e-05,0.2640645503997803,0.9982028007507324,0.0,1.0,2.0654683113098145,2.986763947276927e-09,97.41746520996094,0.5153473019599915,0.11977327615022659
1,0,0.021269047632813454,0.009261107072234154,8.420342783210799e-05,0.29404783248901367,0.9982028007507324,0.0,1.0,1.9757277965545654,1.2679090000133897e-09,73.48456573486328,0.6039891242980957,0.3099919855594635
1,78,0.024077801033854485,0.009890151210129261,7.946420373627916e-05,0.2982758581638336,0.9982028007507324,0.0,1.0,1.6991910934448242,6.238540239955626e-10,50.391197204589844,0.5087386965751648,0.24286678433418274
1,0,0.01966710388660431,0.008563356474041939,6.295063940342516e-05,0.26135897636413574,0.9982028007507324,0.0,1.0,2.001833438873291,9.95355708965917e-09,75.5389404296875,0.550737738609314,0.19131484627723694
1,78,0.019996402785182,0.008601170033216476,6.895303522469476e-05,0.2605036497116089,0.9982028007507324,0.0,1.0,1.7017886638641357,5.292661420241984e-09,54.32817459106445,0.5480448007583618,0.055754777044057846
2,0,0.015584551729261875,0.008839407935738564,0.0003998626780230552,0.3467092514038086,0.9986085891723633,0.0,1.0,1.78506338596344,4.780309037499819e-09,25.465139389038086,-0.024142218753695488,-0.11636821180582047
2,78,0.017011437565088272,0.010096683166921139,0.000482301227748394,0.35448989272117615,0.9983187317848206,0.0,1.0,1.6603567600250244,9.857067384544393e-10,28.60947036743164,0.02387392520904541,-0.1521136611700058
2,0,0.015148318372666836,0.008632059209048748,0.0003465453628450632,0.3324945271015167,0.9986085891723633,0.0,1.0,1.7707821130752563,2.7902293808779177e-09,25.257600784301758,-0.0010668124305084348,-0.048310741782188416
2,78,0.019557291641831398,0.011286275461316109,0.0004686036263592541,0.39643368124961853,0.9982028007507324,0.0,1.0,1.6056450605392456,4.947223741780249e-10,36.30604934692383,0.02504437044262886,-0.20874731242656708
2,0,0.01412177924066782,0.008309929631650448,0.0002970510977320373,0.33335939049720764,0.9986665844917297,0.0,1.0,1.6079961061477661,8.297862952311164e-10,27.953414916992188,-0.078248031437397,-0.2068866789340973
2,78,0.018035972490906715,0.010056923143565655,0.0003494611009955406,0.3719159662723541,0.998376727104187,0.0,1.0,1.6980594396591187,0.0,23.774415969848633,-0.14506351947784424,-0.2495412826538086
2,0,0.015710748732089996,0.009259809739887714,0.0003124692302662879,0.3420787453651428,0.9983187317848206,0.0,1.0,1.679710030555725,4.674546527638768e-09,39.71430206298828,-0.04162415862083435,-0.2200981080532074
2,78,0.018173547461628914,0.010162154212594032,0.00034405814949423075,0.3593416213989258,0.9983187317848206,0.0,1.0,1.7951105833053589,6.084975856524011e-10,32.214927673339844,-0.1167413741350174,-0.31288644671440125
2,0,0.016641490161418915,0.00966757070273161,0.0004848053795285523,0.31975993514060974,0.9983187317848206,0.0,1.0,1.6256585121154785,8.992973477006672e-09,43.5624885559082,0.1292070895433426,-0.08416952192783356
2,78,0.021358510479331017,0.011193042621016502,0.0003833990776911378,0.3828834891319275,0.998376727104187,0.0,1.0,1.872352957725525,1.4351595467587686e-09,26.078794479370117,-0.1589825600385666,-0.2656483054161072
3,0,0.013070999644696712,0.009046436287462711,0.0004248260520398617,0.33505308628082275,0.9980868697166443,0.0,1.0,2.117785930633545,6.157323539923709e-09,76.68887329101562,0.2508610188961029,-0.22115133702754974
3,78,0.015280009247362614,0.009496962651610374,0.0005471798358485103,0.4171847403049469,0.9982028007507324,0.0,0.9999998807907104,1.9682585000991821,7.312332961362245e-10,67.52153015136719,0.13500405848026276,0.07237502932548523
3,0,0.012110968120396137,0.007798126898705959,0.00042046516318805516,0.3319421112537384,0.9982607960700989,0.0,0.9999998807907104,2.4370179176330566,4.3314631881230525e-09,94.13055419921875,0.3016420900821686,0.24347077310085297
3,78,0.009127923287451267,0.005649172700941563,0.00025141536025330424,0.2785065472126007,0.9993622899055481,0.0,1.0,1.730964183807373,5.788889811952913e-09,45.60371780395508,0.015153175219893456,-0.15934441983699799
3,0,0.011845620349049568,0.0073297773487865925,0.00046258923248387873,0.3164908289909363,0.9984347224235535,0.0,1.0,2.3808884620666504,5.461522345484582e-10,92.00128173828125,0.3029091954231262,0.12941335141658783
3,78,0.01322329044342041,0.007410429418087006,0.00038203998701646924,0.37011364102363586,0.999130368232727,0.0,0.9999998807907104,1.472775936126709,3.794255576394789e-09,37.34877395629883,0.05225278064608574,-0.14309389889240265
3,0,0.011446614749729633,0.006879832595586777,0.0003172116703353822,0.33633387088775635,0.9988985061645508,0.0,1.0000001192092896,2.0824742317199707,3.61336049969907e-09,78.12155151367188,0.24716930091381073,-0.04803585633635521
3,78,0.009008591063320637,0.005221730098128319,0.00016957009211182594,0.23584851622581482,0.9995362162590027,0.0,1.0,1.5665948390960693,3.7646814554648245e-09,29.776670455932617,-0.07453200966119766,-0.28639310598373413
3,0,0.011322825215756893,0.006644413340836763,0.0002620958548504859,0.2977977693080902,0.9990144371986389,0.0,1.0,1.8367236852645874,2.668023302287992e-10,64.92694091796875,0.22722184658050537,-0.07984746247529984
3,78,0.012934887781739235,0.006979872938245535,0.00026712779072113335,0.2637893259525299,0.999130368232727,0.0,1.0,1.4990394115447998,5.6901172662549016e-09,22.92416763305664,-0.05977797880768776,-0.1438063085079193
4,0,0.013973532244563103,0.009139768779277802,0.000653983501251787,0.3750239610671997,0.9982028007507324,0.0,0.9999998807907104,1.664614200592041,4.695002719934394e-10,46.938568115234375,0.1625722497701645,-0.24499262869358063
4,78,0.014242211356759071,0.009190399199724197,0.0005027103470638394,0.33246922492980957,0.998144805431366,0.0,1.0,1.8716424703598022,0.0,74.46997833251953,0.20080994069576263,-0.29259926080703735
4,0,0.012364051304757595,0.007544094230979681,0.00036351970629766583,0.2378794550895691,0.998376727104187,0.0,1.0,1.527056336402893,1.351584266728878e-08,34.11665725708008,0.002135676331818104,-0.26098084449768066
4,78,0.01668737642467022,0.010137110017240047,0.0003180071071255952,0.33631476759910583,0.998144805431366,0.0,1.0,1.6972910165786743,0.0,32.02042007446289,-0.01843019761145115,-0.3005819022655487
4,0,0.013107944279909134,0.008130914531648159,0.0002593124518170953,0.23083439469337463,0.9982607960700989,0.0,1.0,1.5487134456634521,1.1496030793978207e-09,44.00712966918945,0.061198532581329346,-0.24306592345237732
4,78,0.011645599268376827,0.007134385406970978,0.00032471309532411397,0.2811506688594818,0.9986665844917297,0.0,1.0,1.5578149557113647,3.6985972062808514e-09,36.80665588378906,-0.05190510302782059,-0.3240307569503784
4,0,0.014080455526709557,0.008859002962708473,0.0004701169964391738,0.3316955864429474,0.9982028007507324,0.0,1.0,1.6297283172607422,2.447923996840018e-08,54.22032928466797,0.14977259933948517,-0.23842716217041016
4,78,0.016488034278154373,0.00959032028913498,0.00028937103343196213,0.3691748082637787,0.9982607960700989,0.0,1.0,1.7860184907913208,2.028431200784553e-09,29.41182518005371,-0.08650171011686325,-0.2563087046146393
4,0,0.0125338826328516,0.008000198751688004,0.0003076711727771908,0.33113035559654236,0.9982028007507324,0.0,1.0,1.7703709602355957,1.73541341297323e-08,61.236572265625,0.21256521344184875,-0.16397708654403687
4,78,0.015853429213166237,0.009164084680378437,0.000405844155466184,0.3674395978450775,0.998144805431366,0.0,1.0,1.6617379188537598,1.105316993488259e-08,38.01521682739258,-0.01066124252974987,-0.2697727382183075
5,0,0.011182443238794804,0.008372114039957523,0.0004976224154233932,0.3744286596775055,0.9982028007507324,0.0,1.0,2.535496711730957,4.49336345909046e-09,107.6633529663086,0.44222337007522583,-0.10739248991012573
5,78,0.011010084301233292,0.007069742772728205,0.000471908861072734,0.17109325528144836,0.9983187317848206,0.0,1.0,2.1421923637390137,3.675460646945794e-08,80.78606414794922,0.35582268238067627,0.16040945053100586
5,0,0.010040936060249805,0.006246647331863642,0.00041371205588802695,0.16340512037277222,0.9987245798110962,0.0,1.0,1.9105572700500488,6.916649919475049e-09,52.43836212158203,0.13011038303375244,-0.01053495705127716
5,78,0.009632140398025513,0.005574771203100681,0.0004731733934022486,0.14354637265205383,0.999130368232727,0.0,1.0,1.8104865550994873,2.3876187693616657e-09,41.64455032348633,0.05231786519289017,-0.18793493509292603
5,0,0.009558473713696003,0.0056093186140060425,0.0004708995984401554,0.1481015533208847,0.999130368232727,0.0,1.0,1.8630523681640625,1.834655982690947e-09,47.12031555175781,0.11541611701250076,-0.13842672109603882
5,78,0.009794240817427635,0.005714522209018469,0.00036787509452551603,0.15299272537231445,0.9990144371986389,0.0,1.0,1.88095223903656,7.308040839149044e-10,45.78171920776367,0.12469885498285294,-0.21168352663516998
5,0,0.01053682342171669,0.006097875069826841,0.00035710426163859665,0.15771763026714325,0.9991883635520935,0.0,1.0,1.8468647003173828,1.2339572696973278e-09,65.83348083496094,0.17265839874744415,-0.19782763719558716
5,78,0.012712971307337284,0.007101831957697868,0.00028410350205376744,0.17184677720069885,0.9988405108451843,0.0,0.9999998807907104,1.6719248294830322,5.889352561183614e-09,46.83146286010742,0.1783817559480667,-0.1832718700170517
5,0,0.010615739040076733,0.005797224584966898,0.00023231195518746972,0.14264580607414246,0.99924635887146,0.0,1.0,1.4379596710205078,6.054665102617207e-10,29.505483627319336,-0.05957457423210144,-0.29248276352882385
5,78,0.013224718160927296,0.007345773279666901,0.00024976657005026937,0.18906955420970917,0.9988405108451843,0.0,1.0,1.5502978563308716,2.266384191429438e-09,30.319000244140625,-0.028728751465678215,-0.3066176176071167
