task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,46.45,-2.6
vertical,51.0,48.4,-2.6
xor_quadrant,48.75,13.7,-35.05
horizontal,50.65,46.0,-4.65
circle,0.0,0.0,0.0
