task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.18026,93.8,0.7
horizontal,1,2,0.03362,98.85,0.441
horizontal,1,3,0.03343,98.86,0.436
horizontal,1,4,0.03216,98.75,0.455
horizontal,1,5,0.03008,98.85,0.436
vertical,2,1,0.48669,88.23,0.453
vertical,2,2,0.03057,98.97,0.445
vertical,2,3,0.02266,99.26,0.446
vertical,2,4,0.02543,99.15,0.45
vertical,2,5,0.01813,99.55,0.44
circle,3,1,0.80368,71.17,0.434
circle,3,2,0.24896,90.63,0.406
circle,3,3,0.07675,97.25,0.408
circle,3,4,0.08385,96.86,0.394
circle,3,5,0.04992,98.16,0.382
diagonal,4,1,0.22633,93.99,0.411
diagonal,4,2,0.03342,98.84,0.396
diagonal,4,3,0.02669,99.03,0.416
diagonal,4,4,0.03557,98.69,0.414
diagonal,4,5,0.03245,98.73,0.404
xor_quadrant,5,1,0.83531,66.17,0.41
xor_quadrant,5,2,0.26434,89.95,0.399
xor_quadrant,5,3,0.06362,97.55,0.406
xor_quadrant,5,4,0.05097,98.1,0.384
xor_quadrant,5,5,0.04533,98.16,0.4
