,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.4,86.05,75.3,49.65,51.1
xor_quadrant,,54.45,49.5,49.05,50.8
diagonal,,,98.55,74.6,49.95
vertical,,,,99.55,50.0
circle,,,,,74.9
