task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.3,-0.75
xor_quadrant,51.0,3.65,-47.35
diagonal,48.75,48.6,-0.15
vertical,50.65,49.55,-1.1
circle,0.0,0.0,0.0
