task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69053,57.9,1.382
horizontal,1,2,0.6035,93.71,1.088
horizontal,1,3,0.47031,99.1,1.154
horizontal,1,4,0.29209,98.95,1.07
horizontal,1,5,0.15976,98.89,1.05
xor_quadrant,2,1,1.22831,49.68,1.264
xor_quadrant,2,2,0.92289,50.34,1.196
xor_quadrant,2,3,0.75519,51.35,1.209
xor_quadrant,2,4,0.67743,50.35,1.256
xor_quadrant,2,5,0.64038,51.48,1.197
diagonal,3,1,0.52636,84.55,1.294
diagonal,3,2,0.39553,90.35,1.58
diagonal,3,3,0.28026,92.72,1.708
diagonal,3,4,0.19292,95.38,1.309
diagonal,3,5,0.13049,97.74,1.583
vertical,4,1,0.48752,79.97,1.424
vertical,4,2,0.2574,89.56,1.327
vertical,4,3,0.14836,94.75,1.587
vertical,4,4,0.09208,97.4,1.623
vertical,4,5,0.05763,98.71,1.728
circle,5,1,1.61835,49.85,1.67
circle,5,2,1.00214,49.89,1.483
circle,5,3,0.7059,52.72,1.488
circle,5,4,0.58126,65.43,1.864
circle,5,5,0.53082,76.1,1.546
