task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,23.05,-26.0
circle,51.0,19.0,-32.0
horizontal,48.75,21.9,-26.85
diagonal,50.65,20.85,-29.8
xor_quadrant,0.0,0.0,0.0
