,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,95.4,50.45,54.75,72.0,72.35
circle,,75.5,52.1,53.35,56.5
horizontal,,,94.25,77.4,72.35
diagonal,,,,95.95,75.1
xor_quadrant,,,,,68.3
