task,initial_accuracy,best_accuracy,final_accuracy,forgetting
circle,75.5,75.5,50.4,25.1
vertical,96.65,96.65,53.05,43.6
diagonal,99.15,99.15,77.9,21.25
horizontal,98.7,98.7,94.75,3.95
xor_quadrant,52.9,52.9,52.9,0.0
