,after_t1,after_t2,after_t3,after_t4,after_t5
circle,75.5,51.8,50.65,49.95,50.4
vertical,,96.65,74.2,50.8,53.05
diagonal,,,99.15,75.85,77.9
horizontal,,,,98.7,94.75
xor_quadrant,,,,,52.9
