task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,25.1,-23.95
vertical,51.0,43.6,-7.4
diagonal,48.75,21.25,-27.5
horizontal,50.65,3.95,-46.7
xor_quadrant,0.0,0.0,0.0
