task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.95,-24.1
vertical,51.0,14.0,-37.0
circle,48.75,21.85,-26.9
diagonal,50.65,13.65,-37.0
xor_quadrant,0.0,0.0,0.0
