task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.72011,50.29,1.744
horizontal,1,2,0.67381,52.19,1.495
horizontal,1,3,0.63298,86.23,1.445
horizontal,1,4,0.57226,92.53,1.755
horizontal,1,5,0.47811,95.15,1.543
vertical,2,1,0.66548,55.34,1.909
vertical,2,2,0.59839,62.12,1.455
vertical,2,3,0.52936,71.86,1.468
vertical,2,4,0.45827,81.74,1.507
vertical,2,5,0.38422,88.03,1.516
circle,3,1,0.79789,51.86,1.554
circle,3,2,0.69598,54.09,1.699
circle,3,3,0.631,59.56,1.577
circle,3,4,0.59102,69.32,1.564
circle,3,5,0.56895,75.15,1.497
diagonal,4,1,0.58152,60.26,1.445
diagonal,4,2,0.47083,87.22,1.484
diagonal,4,3,0.39122,92.3,1.635
diagonal,4,4,0.32373,93.97,1.59
diagonal,4,5,0.26935,95.4,1.57
xor_quadrant,5,1,1.01361,60.09,1.493
xor_quadrant,5,2,0.87609,66.57,1.477
xor_quadrant,5,3,0.77583,66.5,1.499
xor_quadrant,5,4,0.71153,65.88,1.592
xor_quadrant,5,5,0.67818,65.01,1.792
