,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,97.3,60.35,50.3,74.8,72.35
vertical,,90.5,49.15,76.05,76.5
circle,,,77.15,53.85,55.3
diagonal,,,,96.35,82.7
xor_quadrant,,,,,65.1
