,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,99.05,76.55,90.65,80.4,50.1
horizontal,,98.85,66.55,75.9,50.8
vertical,,,83.25,73.8,48.9
xor_quadrant,,,,69.7,50.0
circle,,,,,77.4
