task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.61739,61.8,1.875
horizontal,1,2,0.50862,86.14,1.484
horizontal,1,3,0.37344,92.0,1.609
horizontal,1,4,0.22517,96.95,1.304
horizontal,1,5,0.12131,99.28,1.311
vertical,2,1,1.28827,51.44,1.413
vertical,2,2,0.93677,54.03,1.31
vertical,2,3,0.72477,58.2,1.489
vertical,2,4,0.58141,65.36,1.403
vertical,2,5,0.47866,75.26,1.395
circle,3,1,0.77416,52.98,1.41
circle,3,2,0.64912,56.62,1.365
circle,3,3,0.58882,66.01,1.365
circle,3,4,0.55718,75.63,1.375
circle,3,5,0.54024,75.68,1.384
diagonal,4,1,0.55402,67.15,1.379
diagonal,4,2,0.39798,90.22,1.374
diagonal,4,3,0.29427,92.56,1.34
diagonal,4,4,0.21713,95.26,1.372
diagonal,4,5,0.15725,98.09,1.357
xor_quadrant,5,1,1.12624,58.72,1.437
xor_quadrant,5,2,0.79008,67.37,1.366
xor_quadrant,5,3,0.66615,68.72,1.332
xor_quadrant,5,4,0.61341,69.29,1.367
xor_quadrant,5,5,0.58841,70.1,1.374
