,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.2,68.85,51.1,76.05,74.15
vertical,,82.05,50.4,74.85,73.45
circle,,,77.5,53.95,61.45
diagonal,,,,98.95,77.35
xor_quadrant,,,,,70.05
