task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.05,-24.0
vertical,51.0,8.6,-42.4
circle,48.75,16.05,-32.7
diagonal,50.65,21.6,-29.05
xor_quadrant,0.0,0.0,0.0
