,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.8,49.25,49.75,74.4,50.15
vertical,,99.65,48.35,74.8,48.45
circle,,,94.15,49.2,50.25
diagonal,,,,99.35,48.3
xor_quadrant,,,,,98.45
