phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,0.14794932305812836,0.05462309718132019,0.1004737913608551,0.6280660033226013,0.0,0.0
1,78,0.19991035759449005,0.13700933754444122,0.10696524381637573,0.9284005761146545,0.0,0.014667516574263573
1,0,0.19601549208164215,0.13764093816280365,0.10406316071748734,0.9292923808097839,0.0,0.015189286321401596
1,78,0.20469225943088531,0.1416618674993515,0.10468187183141708,0.9313233494758606,0.0,0.015305235050618649
1,0,0.21126271784305573,0.14135374128818512,0.10912077128887177,0.9303160905838013,0.0,0.015305235050618649
1,78,0.22525997459888458,0.1415858417749405,0.11666510999202728,0.9288971424102783,0.0,0.015073337592184544
1,0,0.21312204003334045,0.14341452717781067,0.1074291542172432,0.9314747452735901,0.0,0.015479158610105515
1,78,0.21502049267292023,0.14360208809375763,0.10906416177749634,0.9313470125198364,0.0,0.015479158610105515
1,0,0.21550999581813812,0.14361464977264404,0.10913289338350296,0.9315705895423889,0.0,0.015595107339322567
1,78,0.21224190294742584,0.14401061832904816,0.10611482709646225,0.9323011636734009,0.0,0.015363209880888462
2,0,0.10891745239496231,0.05543769523501396,0.016071604564785957,0.7061699628829956,0.5168995261192322,0.0
2,78,0.15894106030464172,0.09560748189687729,0.022278036922216415,0.762773871421814,0.23810076713562012,0.0
2,0,0.15950258076190948,0.09641210734844208,0.02258090302348137,0.7622186541557312,0.23328888416290283,0.0
2,78,0.17262649536132812,0.10208377987146378,0.02230379916727543,0.7910550236701965,0.1775755137205124,0.0
2,0,0.16279326379299164,0.09869816899299622,0.02334100753068924,0.7899307608604431,0.2248826026916504,0.0
2,78,0.18683066964149475,0.10460063815116882,0.02256748080253601,0.7902572751045227,0.12551452219486237,0.0
2,0,0.16531917452812195,0.10099349170923233,0.023620503023266792,0.7910611629486084,0.22354918718338013,0.0
2,78,0.15665622055530548,0.10122717916965485,0.02146855741739273,0.8013127446174622,0.28963997960090637,0.0
2,0,0.17303259670734406,0.10376305878162384,0.022513985633850098,0.7900540232658386,0.19009797275066376,0.0
2,78,0.172029510140419,0.10427770018577576,0.022255778312683105,0.7909772396087646,0.1945040225982666,0.0
3,0,0.10288415849208832,0.054661042988300323,0.01910579390823841,0.7141098380088806,0.5471041798591614,0.0
3,78,0.14867542684078217,0.08789888769388199,0.02382819540798664,0.8039788007736206,0.2578120529651642,0.0
3,0,0.14254328608512878,0.08633950352668762,0.022480621933937073,0.804196298122406,0.30807584524154663,0.0
3,78,0.14719520509243011,0.0902031660079956,0.023727107793092728,0.8324205279350281,0.2793785035610199,0.0
3,0,0.13182847201824188,0.08589234203100204,0.0218498557806015,0.8077375292778015,0.41034263372421265,0.0
3,78,0.1327197402715683,0.08704084903001785,0.022044392302632332,0.8100736737251282,0.3976462483406067,0.0
3,0,0.1435512900352478,0.08889441192150116,0.02395196631550789,0.8083674907684326,0.31300365924835205,0.0
3,78,0.1477244794368744,0.09073727577924728,0.023341914638876915,0.8335139751434326,0.28407442569732666,0.0
3,0,0.14023645222187042,0.0886898934841156,0.022760549560189247,0.8093001246452332,0.34222275018692017,0.0
3,78,0.15765349566936493,0.09602838009595871,0.023577779531478882,0.8345659375190735,0.23328888416290283,0.0
4,0,0.12261815369129181,0.06110808998346329,0.02463592030107975,0.6845343112945557,0.4078497290611267,0.0
4,78,0.1446954905986786,0.08295941352844238,0.026168623939156532,0.7979864478111267,0.2894080877304077,0.0
4,0,0.15145881474018097,0.08550561964511871,0.02934255450963974,0.7987504005432129,0.24012985825538635,0.0
4,78,0.15153725445270538,0.08733320981264114,0.027392007410526276,0.7946112751960754,0.2579859793186188,0.0
4,0,0.14684876799583435,0.08684979379177094,0.026355864480137825,0.8307536244392395,0.2906835079193115,0.0
4,78,0.16221170127391815,0.09051792323589325,0.030688012018799782,0.7949352264404297,0.1996057778596878,0.0
4,0,0.15228153765201569,0.08832871913909912,0.026682550087571144,0.7960696816444397,0.25995710492134094,0.0
4,78,0.162053182721138,0.09090927988290787,0.029006974771618843,0.7927411198616028,0.2116064727306366,0.0
4,0,0.15778957307338715,0.09150170534849167,0.030389398336410522,0.7958226203918457,0.22233173251152039,0.0
4,78,0.1507793366909027,0.08921004831790924,0.02754122018814087,0.7955129742622375,0.27259552478790283,0.0
5,0,0.1170990988612175,0.05963427573442459,0.02709607034921646,0.7032276391983032,0.44756218791007996,0.0
5,78,0.1494850516319275,0.08377046883106232,0.03023109771311283,0.782089114189148,0.25705838203430176,0.0
5,0,0.13796596229076385,0.08028845489025116,0.02743254229426384,0.7683343291282654,0.33457010984420776,0.0
5,78,0.14263154566287994,0.08323746919631958,0.027986353263258934,0.7988596558570862,0.3097570836544037,0.0
5,0,0.1435966193675995,0.08506733179092407,0.028049660846590996,0.7827336192131042,0.3103368282318115,0.0
5,78,0.15825563669204712,0.09026946127414703,0.029945997521281242,0.7787514925003052,0.2196069359779358,0.0
5,0,0.146818608045578,0.08882115036249161,0.027872595936059952,0.780319094657898,0.30390167236328125,0.0
5,78,0.14097890257835388,0.09037382155656815,0.02491077594459057,0.7782484292984009,0.3650066554546356,0.0
5,0,0.1560276448726654,0.09377454221248627,0.02800099179148674,0.7763902544975281,0.2715519666671753,0.0
5,78,0.166918084025383,0.09808801114559174,0.02928575873374939,0.8102478981018066,0.2158965766429901,0.0
