,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.9,56.15,49.05,75.5,71.85
vertical,,93.3,50.3,73.95,73.3
circle,,,76.85,52.3,59.75
diagonal,,,,98.4,75.85
xor_quadrant,,,,,69.95
