task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,98.9,98.9,71.85,27.05
vertical,93.3,93.3,73.3,20.0
circle,76.85,76.85,59.75,17.1
diagonal,98.4,98.4,75.85,22.55
xor_quadrant,69.95,69.95,69.95,0.0
