task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.71257,49.12,1.579
horizontal,1,2,0.64045,84.45,1.47
horizontal,1,3,0.54724,88.07,1.412
horizontal,1,4,0.40402,93.22,1.391
horizontal,1,5,0.24381,97.42,1.335
vertical,2,1,0.97884,52.48,1.369
vertical,2,2,0.72879,57.79,1.342
vertical,2,3,0.5529,67.62,1.372
vertical,2,4,0.41404,81.17,1.374
vertical,2,5,0.28795,90.94,1.422
circle,3,1,0.88911,51.58,1.35
circle,3,2,0.70041,54.31,1.369
circle,3,3,0.61506,62.0,1.53
circle,3,4,0.57021,72.93,1.317
circle,3,5,0.54495,76.3,1.426
diagonal,4,1,0.53718,71.01,1.438
diagonal,4,2,0.38057,90.37,1.351
diagonal,4,3,0.28332,92.27,1.266
diagonal,4,4,0.20965,95.12,1.495
diagonal,4,5,0.15153,97.31,1.312
xor_quadrant,5,1,1.14538,59.23,1.444
xor_quadrant,5,2,0.78376,67.13,1.743
xor_quadrant,5,3,0.65756,68.21,1.368
xor_quadrant,5,4,0.61454,69.16,1.321
xor_quadrant,5,5,0.59431,69.78,1.275
