task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.05,-22.0
vertical,51.0,20.0,-31.0
circle,48.75,17.1,-31.65
diagonal,50.65,22.55,-28.1
xor_quadrant,0.0,0.0,0.0
