,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,97.65,53.35,48.45,49.8,50.95
diagonal,,95.95,73.05,49.0,76.05
vertical,,,98.95,49.3,50.15
circle,,,,97.8,48.85
horizontal,,,,,99.15
