task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,49.35,0.3
vertical,51.0,49.3,-1.7
xor_quadrant,48.75,15.15,-33.6
horizontal,50.65,48.15,-2.5
circle,0.0,0.0,0.0
