task,phase,epoch,train_loss,train_accuracy,epoch_seconds
diagonal,1,1,0.72251,50.28,1.473
diagonal,1,2,0.63066,82.28,1.189
diagonal,1,3,0.52297,92.45,1.149
diagonal,1,4,0.38077,96.15,1.103
diagonal,1,5,0.24458,98.51,1.105
vertical,2,1,0.40414,80.15,1.21
vertical,2,2,0.24836,89.77,1.231
vertical,2,3,0.16264,94.53,1.231
vertical,2,4,0.11385,96.86,1.235
vertical,2,5,0.07867,98.31,1.247
xor_quadrant,3,1,1.61432,49.06,1.253
xor_quadrant,3,2,1.1039,48.31,1.216
xor_quadrant,3,3,0.8436,48.28,1.295
xor_quadrant,3,4,0.72607,49.6,1.212
xor_quadrant,3,5,0.67752,56.54,1.232
horizontal,4,1,0.59955,74.42,1.241
horizontal,4,2,0.48536,86.38,1.245
horizontal,4,3,0.34592,95.06,1.349
horizontal,4,4,0.21918,98.53,1.272
horizontal,4,5,0.13371,99.39,1.267
circle,5,1,1.22274,50.51,1.268
circle,5,2,0.83893,50.55,1.257
circle,5,3,0.65623,57.5,1.393
circle,5,4,0.57798,73.38,1.443
circle,5,5,0.54186,76.1,1.264
