,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,99.3,74.85,82.3,74.5,49.95
vertical,,99.3,80.95,48.65,50.0
xor_quadrant,,,65.95,50.45,50.8
horizontal,,,,99.25,51.1
circle,,,,,74.9
