task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,14.6,-34.45
diagonal,51.0,17.8,-33.2
vertical,48.75,49.2,0.45
circle,50.65,8.3,-42.35
horizontal,0.0,0.0,0.0
