,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,58.25,52.55,49.25,66.05,51.45
diagonal,,94.15,73.95,74.85,76.35
vertical,,,99.65,73.65,50.45
circle,,,,57.65,49.35
horizontal,,,,,99.35
