task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.86037,49.31,1.878
xor_quadrant,1,2,0.74359,49.31,1.629
xor_quadrant,1,3,0.68756,52.3,1.425
xor_quadrant,1,4,0.67932,58.05,1.595
xor_quadrant,1,5,0.66889,61.83,1.463
diagonal,2,1,0.57659,87.46,1.6
diagonal,2,2,0.51458,89.17,1.584
diagonal,2,3,0.44976,90.84,1.758
diagonal,2,4,0.38413,92.24,1.398
diagonal,2,5,0.32241,93.43,1.558
vertical,3,1,0.41764,80.08,1.509
vertical,3,2,0.30247,88.34,1.498
vertical,3,3,0.20868,94.07,2.079
vertical,3,4,0.14184,97.43,1.882
vertical,3,5,0.09932,99.32,2.033
circle,4,1,1.45336,49.99,1.46
circle,4,2,1.26551,50.31,1.525
circle,4,3,1.06824,50.8,1.508
circle,4,4,0.88572,52.65,1.757
circle,4,5,0.74204,56.03,2.586
horizontal,5,1,0.7003,67.2,1.639
horizontal,5,2,0.53168,73.96,1.501
horizontal,5,3,0.39906,83.1,1.889
horizontal,5,4,0.27708,92.54,1.749
horizontal,5,5,0.18948,97.33,1.481
