task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,44.0,-5.05
vertical,51.0,49.15,-1.85
circle,48.75,36.85,-11.9
diagonal,50.65,45.2,-5.45
xor_quadrant,0.0,0.0,0.0
