task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.64129,70.86,1.185
horizontal,1,2,0.35145,94.4,0.809
horizontal,1,3,0.12378,99.11,0.811
horizontal,1,4,0.06402,99.1,0.818
horizontal,1,5,0.04228,99.25,0.883
vertical,2,1,0.95525,68.0,0.913
vertical,2,2,0.15736,95.92,0.819
vertical,2,3,0.08168,98.18,0.831
vertical,2,4,0.05314,98.93,0.897
vertical,2,5,0.03825,99.31,0.884
circle,3,1,1.17049,51.4,0.815
circle,3,2,0.54089,75.66,1.018
circle,3,3,0.52628,75.66,0.853
circle,3,4,0.51765,75.66,0.848
circle,3,5,0.50768,75.66,0.837
diagonal,4,1,0.54992,71.24,0.82
diagonal,4,2,0.27906,92.57,0.845
diagonal,4,3,0.12186,97.72,0.86
diagonal,4,4,0.07408,98.53,0.87
diagonal,4,5,0.0519,99.08,0.97
xor_quadrant,5,1,1.00853,66.94,1.015
xor_quadrant,5,2,0.59265,69.63,0.92
xor_quadrant,5,3,0.56374,70.29,0.923
xor_quadrant,5,4,0.52395,71.08,1.026
xor_quadrant,5,5,0.44807,76.6,0.974
