,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,50.4,50.8,76.25,55.65
vertical,,99.2,48.9,73.75,50.05
circle,,,77.4,48.95,40.55
diagonal,,,,99.35,54.15
xor_quadrant,,,,,88.85
