,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.35,62.35,46.95,76.35,74.65
vertical,,88.75,48.45,74.75,74.15
circle,,,75.85,50.35,57.35
diagonal,,,,98.5,79.2
xor_quadrant,,,,,71.3
