task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,20.7,-28.35
vertical,51.0,14.6,-36.4
circle,48.75,18.5,-30.25
diagonal,50.65,19.3,-31.35
xor_quadrant,0.0,0.0,0.0
