,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,75.55,50.75,48.95,55.55,52.3
diagonal,,97.5,74.8,54.7,74.65
vertical,,,99.15,54.75,48.9
circle,,,,70.15,53.1
horizontal,,,,,96.5
