task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,23.25,-25.8
diagonal,51.0,22.85,-28.15
vertical,48.75,50.25,1.5
circle,50.65,17.05,-33.6
horizontal,0.0,0.0,0.0
