step,gov_loss,loss_att,loss_ret,loss_int,loss_new,loss_new_before,loss_new_after,loss_old,loss_old_before,loss_old_after,sparse_cost,ewc_cost,delta_cost,delta_cost_live,phase_scale,allocated_weights,frac_active,demand,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0.07091107219457626,0.08925067633390427,0.011442129500210285,0.10098657011985779,-0.07735276222229004,0.7281,0.6508,0.0,0.0,0.0,0.0002435588976368308,0.0,0.030398784205317497,0.6003760099411011,19.75,11000,0.244,0.239,0.2003,0.151,0.0,0.3186,0.3623,0.0
50,0.20859946310520172,0.004679221659898758,0.059038519859313965,0.10417347401380539,-0.13757848739624023,0.7088,0.5712,0.062102317810058594,0.6631,0.7252,0.04653547704219818,0.7854118347167969,0.051350776106119156,1.0141777992248535,19.75,10000,0.222,0.222,0.301,0.2563,0.0,0.5274,0.4203,0.0
100,0.3925590515136719,-0.10356567800045013,0.0725618526339531,0.20705410838127136,-0.06865417957305908,0.7134,0.6448,0.04918479919433594,0.595,0.6442,0.2799496352672577,1.4187803268432617,0.06724940240383148,1.328175663948059,19.75,10000,0.222,0.231,0.4878,0.4154,0.0,0.85,0.4203,0.0
150,0.5962902307510376,-0.119200199842453,0.09316504001617432,0.319975346326828,-0.3698306381702423,0.8134,0.4435,0.0,0.0,0.0,0.3943166434764862,0.0,0.07542168349027634,1.4895782470703125,19.75,10000,0.222,0.232,0.548,0.4666,0.0,0.9516,0.4203,0.5797
200,0.6309782266616821,-0.19612577557563782,0.1613888144493103,0.37979188561439514,-0.3656602203845978,0.6155,0.2499,0.09609934687614441,0.4532,0.5493,0.453404039144516,2.132821798324585,0.06471661478281021,1.2781531810760498,19.75,10000,0.222,0.232,0.5726,0.4876,0.0,0.9947,0.4203,0.5797
